gid_0,country,gid_1,internet_women,internet_men,internet_fm_ratio,mobile_women,mobile_men,mobile_fm_ratio,internet_women_national,internet_men_national,internet_fm_ratio_national,mobile_women_national,mobile_men_national,mobile_fm_ratio_national
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
